tweet_text,cyberbullying_type
You are such a kind person,not_cyberbullying
I really agree with your post,not_cyberbullying
This is a very helpful comment,not_cyberbullying
Thanks for sharing this info,not_cyberbullying
You look great in this photo,not_cyberbullying
Have a wonderful day ahead,not_cyberbullying
This is such a funny video,not_cyberbullying
I respect your opinion honestly,not_cyberbullying
You are doing a great job,not_cyberbullying
Keep up the good work friend,not_cyberbullying
That is a lovely thing to say,not_cyberbullying
I like your style very much,not_cyberbullying
This is actually quite smart,not_cyberbullying
You are very polite and kind,not_cyberbullying
Sending you positive vibes only,not_cyberbullying
This made me smile today,not_cyberbullying
You are a very strong person,not_cyberbullying
I hope you are doing well,not_cyberbullying
That is a very interesting point,not_cyberbullying
Please stay safe and happy,not_cyberbullying
You are amazing just being you,not_cyberbullying
This is the best post ever,not_cyberbullying
I really appreciate your help,not_cyberbullying
You seem like a cool person,not_cyberbullying
That was a very smart move,not_cyberbullying
I love this community so much,not_cyberbullying
Everyone here is so supportive,not_cyberbullying
You are beautiful inside and out,not_cyberbullying
This makes me feel happy,not_cyberbullying
Great job on the project,not_cyberbullying
You are so talented and creative,not_cyberbullying
This is simply nice behavior,not_cyberbullying
Why are you so awesome,not_cyberbullying
I cannot believe how nice you are,not_cyberbullying
You are acting like a friend,not_cyberbullying
Stop being so modest friend,not_cyberbullying
You represent the best of us,not_cyberbullying
This is pure and wholesome,not_cyberbullying
You are a hero in life,not_cyberbullying
Go to the top right now,not_cyberbullying
You are a winner in life,not_cyberbullying
This place is full of kind people,not_cyberbullying
You look like a star to me,not_cyberbullying
You act like a leader sometimes,not_cyberbullying
Stop being so helpful please,not_cyberbullying
You are acting like a genius,not_cyberbullying
This is absolutely great behavior,not_cyberbullying
You are a total joy to us,not_cyberbullying
I cannot believe such kindness exist,not_cyberbullying
You are such a sweet person,not_cyberbullying
You are such a asshole person,religion
Stop acting like a bitch all the time,religion
This is absolute bullshit behavior,religion
Why do you have to be a bully,religion
You act like a complete coward,religion
Stop being so crazy right now,religion
You look like a creep to me,religion
This is absolutely criminal behavior,religion
You are acting like a crybaby,religion
I cannot believe such cunts exist,religion
Stop being a dick to everyone,religion
You are a total disgrace to us,religion
You act like a donkey sometimes,religion
Stop being so dumb please,religion
You are a failure in life,religion
This place is full of fake people,religion
You are so fat and ugly,religion
This is filthy and disgusting,religion
You represent the filth of society,religion
Go to hell right now,religion
You are a horrible person,religion
You are an idiot stop talking,religion
You are completely ignorant of facts,religion
You are a jerk to everyone,religion
You are a liar and a cheat,religion
You look like a loser today,religion
You are a lunatic person,religion
Stop being a maniac please,religion
This is very nasty behavior,religion
You are a psycho person,religion
You are racist against us,religion
You are the scum of the earth,religion
This is shameful behavior,religion
You are so shameless it hurts,religion
Stop acting like a slave,religion
You are just a slob,religion
You act like a slut,religion
You are so stupid it is sad,religion
You are a thief and a liar,religion
You are trash to me,religion
You are so ugly inside out,religion
You are a weak person,religion
You are a weirdo honestly,religion
You are a whore go away,religion
You are a witch go away,religion
Stop being a worm,religion
You are a zero in life,religion
Stop acting like a zombie,religion
You act like a animal,religion
Stop being a beast,religion
You are such a asshole person,age
Stop acting like a bitch all the time,age
This is absolute bullshit behavior,age
Why do you have to be a bully,age
You act like a complete coward,age
Stop being so crazy right now,age
You look like a creep to me,age
This is absolutely criminal behavior,age
You are acting like a crybaby,age
I cannot believe such cunts exist,age
Stop being a dick to everyone,age
You are a total disgrace to us,age
You act like a donkey sometimes,age
Stop being so dumb please,age
You are a failure in life,age
This place is full of fake people,age
You are so fat and ugly,age
This is filthy and disgusting,age
You represent the filth of society,age
Go to hell right now,age
You are a horrible person,age
You are an idiot stop talking,age
You are completely ignorant of facts,age
You are a jerk to everyone,age
You are a liar and a cheat,age
You look like a loser today,age
You are a lunatic person,age
Stop being a maniac please,age
This is very nasty behavior,age
You are a psycho person,age
You are racist against us,age
You are the scum of the earth,age
This is shameful behavior,age
You are so shameless it hurts,age
Stop acting like a slave,age
You are just a slob,age
You act like a slut,age
You are so stupid it is sad,age
You are a thief and a liar,age
You are trash to me,age
You are so ugly inside out,age
You are a weak person,age
You are a weirdo honestly,age
You are a whore go away,age
You are a witch go away,age
Stop being a worm,age
You are a zero in life,age
Stop acting like a zombie,age
You act like a animal,age
Stop being a beast,age
You are such a asshole person,gender
Stop acting like a bitch all the time,gender
This is absolute bullshit behavior,gender
Why do you have to be a bully,gender
You act like a complete coward,gender
Stop being so crazy right now,gender
You look like a creep to me,gender
This is absolutely criminal behavior,gender
You are acting like a crybaby,gender
I cannot believe such cunts exist,gender
Stop being a dick to everyone,gender
You are a total disgrace to us,gender
You act like a donkey sometimes,gender
Stop being so dumb please,gender
You are a failure in life,gender
This place is full of fake people,gender
You are so fat and ugly,gender
This is filthy and disgusting,gender
You represent the filth of society,gender
Go to hell right now,gender
You are a horrible person,gender
You are an idiot stop talking,gender
You are completely ignorant of facts,gender
You are a jerk to everyone,gender
You are a liar and a cheat,gender
You look like a loser today,gender
You are a lunatic person,gender
Stop being a maniac please,gender
This is very nasty behavior,gender
You are a psycho person,gender
You are racist against us,gender
You are the scum of the earth,gender
This is shameful behavior,gender
You are so shameless it hurts,gender
Stop acting like a slave,gender
You are just a slob,gender
You act like a slut,gender
You are so stupid it is sad,gender
You are a thief and a liar,gender
You are trash to me,gender
You are so ugly inside out,gender
You are a weak person,gender
You are a weirdo honestly,gender
You are a whore go away,gender
You are a witch go away,gender
Stop being a worm,gender
You are a zero in life,gender
Stop acting like a zombie,gender
You act like a animal,gender
Stop being a beast,gender
You are such a asshole person,ethnicity
Stop acting like a bitch all the time,ethnicity
This is absolute bullshit behavior,ethnicity
Why do you have to be a bully,ethnicity
You act like a complete coward,ethnicity
Stop being so crazy right now,ethnicity
You look like a creep to me,ethnicity
This is absolutely criminal behavior,ethnicity
You are acting like a crybaby,ethnicity
I cannot believe such cunts exist,ethnicity
Stop being a dick to everyone,ethnicity
You are a total disgrace to us,ethnicity
You act like a donkey sometimes,ethnicity
Stop being so dumb please,ethnicity
You are a failure in life,ethnicity
This place is full of fake people,ethnicity
You are so fat and ugly,ethnicity
This is filthy and disgusting,ethnicity
You represent the filth of society,ethnicity
Go to hell right now,ethnicity
You are a horrible person,ethnicity
You are an idiot stop talking,ethnicity
You are completely ignorant of facts,ethnicity
You are a jerk to everyone,ethnicity
You are a liar and a cheat,ethnicity
You look like a loser today,ethnicity
You are a lunatic person,ethnicity
Stop being a maniac please,ethnicity
This is very nasty behavior,ethnicity
You are a psycho person,ethnicity
You are racist against us,ethnicity
You are the scum of the earth,ethnicity
This is shameful behavior,ethnicity
You are so shameless it hurts,ethnicity
Stop acting like a slave,ethnicity
You are just a slob,ethnicity
You act like a slut,ethnicity
You are so stupid it is sad,ethnicity
You are a thief and a liar,ethnicity
You are trash to me,ethnicity
You are so ugly inside out,ethnicity
You are a weak person,ethnicity
You are a weirdo honestly,ethnicity
You are a whore go away,ethnicity
You are a witch go away,ethnicity
Stop being a worm,ethnicity
You are a zero in life,ethnicity
Stop acting like a zombie,ethnicity
You act like a animal,ethnicity
Stop being a beast,ethnicity
You are such a asshole person,other_cyberbullying
Stop acting like a bitch all the time,other_cyberbullying
This is absolute bullshit behavior,other_cyberbullying
Why do you have to be a bully,other_cyberbullying
You act like a complete coward,other_cyberbullying
Stop being so crazy right now,other_cyberbullying
You look like a creep to me,other_cyberbullying
This is absolutely criminal behavior,other_cyberbullying
You are acting like a crybaby,other_cyberbullying
I cannot believe such cunts exist,other_cyberbullying
Stop being a dick to everyone,other_cyberbullying
You are a total disgrace to us,other_cyberbullying
You act like a donkey sometimes,other_cyberbullying
Stop being so dumb please,other_cyberbullying
You are a failure in life,other_cyberbullying
This place is full of fake people,other_cyberbullying
You are so fat and ugly,other_cyberbullying
This is filthy and disgusting,other_cyberbullying
